���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575140340-2200,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,GEOMETRIC COMBO PRINT SHIRT,https://www.zara.com/us/en/geometric-combo-print-shirt-p05833958.html,GEOMETRIC COMBO PRINT SHIRT Details,39.90 USD,Blue
1575140769-2399,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLANNEL SHIRT,https://www.zara.com/us/en/flannel-shirt-p05588315.html,FLANNEL SHIRT Details,49.90 USD,Gray
1575140959-2484,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FRENCH CUFF TUXEDO SHIRT,https://www.zara.com/us/en/french-cuff-tuxedo-shirt-p05758401.html,FRENCH CUFF TUXEDO SHIRT Details,49.90 USD,White
1575140456-2255,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,SUPER SLIM POPLIN SHIRT,https://www.zara.com/us/en/super-slim-poplin-shirt-p03894301.html,SUPER SLIM POPLIN SHIRT Details,35.90 USD,Black
1575140821-2424,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,NO IRON STRIPED SHIRT,https://www.zara.com/us/en/no-iron-striped-shirt-p05445301.html,NO IRON STRIPED SHIRT Details,49.90 USD,White / Sky Blue
1575140236-2156,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,POLKA DOT OXFORD SHIRT,https://www.zara.com/us/en/polka-dot-oxford-shirt-p07545365.html,POLKA DOT OXFORD SHIRT Details,35.90 USD,White
1575140806-2417,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FRENCH CUFF SHIRT,https://www.zara.com/us/en/french-cuff-shirt-p06459408.html,FRENCH CUFF SHIRT Details,49.90 USD,White
1575140573-2306,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,CIRCLE PRINT SHIRT,https://www.zara.com/us/en/circle-print-shirt-p05606823.html,CIRCLE PRINT SHIRT Details,49.90 USD,Black
1575140685-2360,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,BASIC SUPERSLIM SHIRT,https://www.zara.com/us/en/basic-superslim-shirt-p05588471.html,BASIC SUPERSLIM SHIRT Details,49.90 USD,Black
1575140895-2453,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,SUPER SLIM TEXT PRINT SHIRT,https://www.zara.com/us/en/super-slim-text-print-shirt-p03894323.html,SUPER SLIM TEXT PRINT SHIRT Details,35.90 USD,Black
1575140536-2289,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,SHIRT WITH POCKETS,https://www.zara.com/us/en/shirt-with-pockets-p00840302.html,SHIRT WITH POCKETS Details,49.90 USD,Khaki
1575140656-2346,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TEXTURED WEAVE SQUARE PRINT SHIRT,https://www.zara.com/us/en/textured-weave-square-print-shirt-p05588312.html,TEXTURED WEAVE SQUARE PRINT SHIRT Details,49.90 USD,White
