���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575138619-1837,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,SORONA � HOODED PUFFER JACKET,https://www.zara.com/us/en/sorona-%C2%AE-hooded-puffer-jacket-p03427301.html,SORONA � HOODED PUFFER JACKET Details,119.00 USD,Black
1575138260-1666,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,STRIPED STRUCTURED JACKET,https://www.zara.com/us/en/striped-structured-jacket-p07380600.html,STRIPED STRUCTURED JACKET Details,69.90 USD,Black
1575138335-1702,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,RELAXED FIT OVERSHIRT,https://www.zara.com/us/en/relaxed-fit-overshirt-p00840321.html,RELAXED FIT OVERSHIRT Details,49.90 USD,Red
1575138330-1700,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,TECHNICAL BIKER JACKET,https://www.zara.com/us/en/technical-biker-jacket-p00706302.html,TECHNICAL BIKER JACKET Details,69.90 USD,Black
1575138523-1791,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,DENIM JACKET WITH FLEECE TRIM,https://www.zara.com/us/en/denim-jacket-with-fleece-trim-p08062390.html,DENIM JACKET WITH FLEECE TRIM Details,119.00 USD,Mid-Blue
1575138440-1751,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,BASIC BOMBER JACKET,https://www.zara.com/us/en/basic-bomber-jacket-p03918301.html,BASIC BOMBER JACKET Details,49.90 USD,Beige
1575138594-1825,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,DOUBLE-FACED JACKET,https://www.zara.com/us/en/double-faced-jacket-p00706204.html,DOUBLE-FACED JACKET Details,129.00 USD,Moss Green
1575138218-1648,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,JACKET WITH POCKETS,https://www.zara.com/us/en/jacket-with-pockets-p00840308.html,JACKET WITH POCKETS Details,69.90 USD,Khaki
1575138231-1653,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,TRAVELER OVERSHIRT,https://www.zara.com/us/en/traveler-overshirt-p09621356.html,TRAVELER OVERSHIRT Details,49.90 USD,Gray
1575138214-1646,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,CONTRASTING HOODED JACKET,https://www.zara.com/us/en/contrasting-hooded-jacket-p00706354.html,CONTRASTING HOODED JACKET Details,149.00 USD,Gray
1575138412-1738,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,REVERSIBLE FLEECE JACKET,https://www.zara.com/us/en/reversible-fleece-jacket-p01105300.html,REVERSIBLE FLEECE JACKET Details,89.90 USD,Dark Tan
1575138429-1746,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,VEST WITH POCKETS,https://www.zara.com/us/en/vest-with-pockets-p06985317.html,VEST WITH POCKETS Details,59.90 USD,Black
